J2,J3,Energy,Sigma,A1,A2,A3,L,mL
-0.3,0,-0.6610368779069995,1.9753099810052802e-09,0.5160766184240234,0.2127739055853969,0.0,1.5666499558331854,1.5666207184182277
-0.24,0,-0.6430175345963056,1.9041914610739943e-08,0.5185592020547898,0.23422427500392445,0.0,1.6016346720084988,1.601611363939607
-0.18,0,-0.6275124795221569,7.832203002623124e-09,0.5208510725380665,0.25733716164357046,0.0,1.6438403369457568,1.6438214677141456
-0.12,0,-0.6149172560809948,6.366719522037697e-09,0.522707829603675,0.28110551757854063,0.0,1.6938752948498725,1.6938596674790862
-0.06,0,-0.6055289705631941,7.219199523135122e-10,0.5238845117430995,0.3046517566908959,0.0,1.751481833549082,1.7514685047304757
0.0,0,-0.5994918693008686,3.9366282826497647e-13,0.524283367585956,0.3167572269650628,0.0,1.8161825676318426,1.816170860444371
0.06,0,-0.5967869422130943,9.705084270310933e-10,0.5238997344883803,0.3471261395462282,0.0,1.8870013038765263,1.8869907296509563
0.12,0,-0.5972640598095638,9.83654431440742e-10,0.5228006076992566,0.3651511285119211,0.0,1.9628347351420194,1.962824903211697
0.18,0,-0.6006923678742793,6.7014570269899075e-09,0.5211202386855589,0.38092947616760187,0.0,2.0427468983341113,2.042737574967855
0.24000000000000005,0,-0.6068060621557074,1.3011658261218265e-08,0.5189797018289851,0.3945109143690384,0.0,2.125797671151302,2.12578863828676
0.3,0,-0.6153359726988485,7.551866751569544e-09,0.5164976223244436,0.40650611990669716,0.0,2.2116626418855865,2.211653799668567
